DJK SV Haugenried,402003,ByTTV
DJK SV Kirchberg v. Wald,415036,ByTTV
DJK SV Kray 09,145033,WTTV
DJK SV Leiblfing,415042,ByTTV
DJK SV Neufang,206057,ByTTV
DJK SV Raitenhaslach,416064,ByTTV
DJK SV Schwarz-Weiß Braunschweig,1051420,TTVN
DJK SV Steinberg,208065,ByTTV
DJK SV Werpeloh,4414000,TTVN
DJK SV e.V. Hartkirchen,415026,ByTTV
DJK SW Duisburg,148004,WTTV
DJK SW Griesheim,43029,HeTTV
DJK Saarbrücken-Rastpfuhl,227,STTB
DJK Saarlouis-Roden,336,STTB
DJK Saxonia Dortmund,112017,WTTV
DJK Schiffweiler,141,STTB
DJK Schonungen-Mainberg,102070,ByTTV
DJK Schwabach,104083,ByTTV
DJK Schweinfurt e.V.,102073,ByTTV
DJK Schwäbisch Gmünd,11050,TTVWH
DJK Schönau,507,BaTTV
DJK Schönfeld,414071,ByTTV
DJK Seifriedsberg,310079,ByTTV
DJK Siegfried Osterath,147016,WTTV
DJK Sonnen,415072,ByTTV
DJK SpVgg Effeltrich,207014,ByTTV
DJK Sparta Bilk,141012,WTTV
DJK Sparta Langenhagen,2192675,TTVN
DJK Sparta Noris Nürnberg,207077,ByTTV
DJK Sportfreunde 08 Rheydt,143018,WTTV
DJK St. Hildeg.-Lindenhof,510,BaTTV
